,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
178,Mən evə qayıdıram,Vətənpərvərlik,Samir Kərimoğlu,İsmayıl Səfərəli,Əziz Məmmədov,"""Salnamə"" sənədli filmlər studiyası",None,Rəngli,85.0,"2011, -, 2014"
179,Mən ki gözəl deyildim,dram,"Tofiq Tağızadə, ,, Ağarza Quliyev, ,, Ramiz Əsgərov","Bayram Bayramov, , İqor Strekov,, Ağarza Quliyev",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,76.0,1968
180,Mən mahnı qoşuram,"komediya, musiqili, uşaq",Tofiq İsmayılov,"İbrahim İbrahimov, Tofiq İsmayılov",Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,73.5,1979
181,Mənim ağ şəhərim,"dram, məhəbbət",Mərahim Fərzəlibəyov,Akif Həsənoğlu,Rauf Dadaşov,"""Azərbaycanfilm"" kinostudiyası",None,rəngli,83.0,None
182,Milli bomba,Faciəvi komediya,Vaqif Mustafayev,"Elçin, ,, Vaqif Mustafayev",None,None,tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),104.0,2004
183,Möcüzələr adası,"dram, məhəbbət",Həsən Seyidbəyli,Həsən Seyidbəyli,Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,69.0,1963
184,Musiqi müəllimi,"komediya, musiqili, məhəbbət, uşaq",Tofiq İsmayılov,"Radi Kuşneroviç, ,, Tofiq İsmayılov",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1983
185,Müxtəlif sahillərdə,detektiv,Aleksandr Litvinov,"Aleksandr Litvinov, P.Vaynşteyn, İvan Tartakovski","A.Plaksin, Mixail Vlasov",Azdövlətkino,tammetrajlı bədii film,ağ-qara,65.0,None
186,Müqəddəs oda yanaram,dram,"Gülbəniz Əzimzadə, Hafiz Fətullayev",Hafiz Fətullayev,Mayis Ağabəyov,"""AMAfilm"" Kinoşirkəti",tammetrajlı bədii film,rəngli,91.0,1991
187,MÜQƏDDƏS TORPAQ,dram,Şahin Sina,Şahin Sina,Andrey Pastuşenko,None,tammetrajlı bədii film,rəngli,69.0,1992
188,Nabat,dram filmi,Elçin Musaoğlu,"Elxan Nəbiyev, Elçin Musaoğlu",Şahin Həsənli,None,None,rəngli,81.0,2014-cü il
189,Nakəs,dram,Vaqif Mustafayev,"Ramiz Fətəliyev, Vaqif Mustafayev","Rafiq Nəsirov, Nigar Nərimanbəyova",None,tammetrajlı bədii film,rəngli,142.5,1991
190,Nar bağı,dram,İlqar Nəcəf,"İlqar Nəcəf, Asif Rüstəmov, Roelof Jan Minneboo",Rafiq Nəsirov,None,tammetrajlı bədii film,rəngli,1.0,2017
191,Neft və milyonlar səltənətində,dram,Boris Svetlov,"Anna Panova-Potyomkina, [1]",None,"""Filma"" Səhmdar Cəmiyyəti, [1]",tammetrajlı bədii film,ağ-qara,81.0,1916
193,Nəsimi,"dram, tarixi, bioqrafik",Həsən Seyidbəyli,İsa Hüseynov,"Məmməd Hüseynov, Mais Ağabəyov",Azərbaycanfilm,tammetrajlı bədii film,rəngli,96.0,1973
194,Nikita İvanoviç və sosializm,dram,Aleksandr Makovski,"İqor Savçenko, Leonid Perelman, Aleksandr Makovski",Pyotr Beytner,Azərkino,tammetrajlı bədii film,ağ-qara,53.0,None
195,Niyyət,Dram,Samir Kərimoğlu,Yavər Rzayev,Fikrət Ələkbərov,"""Azərbaycanfilm"" kinostudiyası",Tammetrajlı bədii film,Rəngli,81.0,2010
196,NİZAMİ,"tarixi, bioqrafik",Eldar Quliyev,"İsa Hüseynov, ,, Eldar Quliyev",Mayis Ağabəyov,None,tammetrajlı bədii film,rəngli,125.5,1982
197,O dünyadan salam,"dram, faciəvi komediya",Tofiq Tağızadə,Tofiq Tağızadə,"Arif Məhərrəmov, Əziz Məmmədov","""TMT"" Kinoşirkəti",tammetrajlı bədii film,rəngli]],98.0,1991
198,O qızı tapın,"detektiv, döyüş, müəmma, məhəbbət",Həsən Seyidbəyli,Həsən Seyidbəyli,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,87.0,1970
